,Original,NoGlobalPooling,NoLayer4,NoSkip,SimplifiedResidualBlock
Original,0.0,0.04516713040177646,0.0058606103508885106,0.09981944909416694,0.1086723832060966
NoGlobalPooling,-0.04037712344248107,0.0,-0.03483550284730479,0.05287415066685891,0.06462285271808461
NoLayer4,-0.005817771060054716,0.03899389170641459,0.0,0.09334657376437559,0.10222724577608307
NoSkip,-0.08885255007798229,-0.050017492222920804,-0.08357217897359612,0.0,0.011031856445305343
SimplifiedResidualBlock,-0.09690570167570581,-0.05540024947191182,-0.09161061945133453,-0.005864521712093643,0.0
