,Original,3Layers,NoAttention,NoFFN,NoNorm
Original,0.0,0.014810194585193406,0.05346365362251597,0.021591948955003066,0.9015448692340554
3Layers,-0.0145936092127285,0.0,0.03808831067796454,0.00668280848408781,0.8737940732801057
NoAttention,-0.0507417571842929,-0.03668445339256418,0.0,-0.03024800449463062,0.805055993009872
NoFFN,-0.02113448026778671,-0.006637712933177301,0.03119649891772517,0.0,0.8613559412614918
NoNorm,-0.4741116544009566,-0.4663232577590445,-0.44599609526740086,-0.4627569209690745,0.0
