,Original,NoGlobalPooling,NoLayer4,NoSkip,SimplifiedResidualBlock
Original,0.0,0.04516713040177646,0.0058606103508885106,0.09981944909416694,0.1086723832060966
NoGlobalPooling,0.04516713040177646,0.0,-0.03483550284730479,0.05287415066685891,0.06462285271808461
NoLayer4,0.0058606103508885106,-0.03483550284730479,0.0,0.09334657376437559,0.10222724577608307
NoSkip,0.09981944909416694,0.05287415066685891,0.09334657376437559,0.0,0.011031856445305343
SimplifiedResidualBlock,0.1086723832060966,0.06462285271808461,0.10222724577608307,0.011031856445305343,0.0
