,Original,3Layers,NoAttention,NoFFN,NoNorm
Original,0.0,0.014810194585193406,0.05346365362251597,0.021591948955003066,0.9015448692340554
3Layers,0.014810194585193406,0.0,0.03808831067796454,0.00668280848408781,0.8737940732801057
NoAttention,0.05346365362251597,0.03808831067796454,0.0,-0.03024800449463062,0.805055993009872
NoFFN,0.021591948955003066,0.00668280848408781,-0.03024800449463062,0.0,0.8613559412614918
NoNorm,0.9015448692340554,0.8737940732801057,0.805055993009872,0.8613559412614918,0.0
