seed,model,class,one_vs_rest_imv
42,logistic_regression,0,0.10034730697111041
42,logistic_regression,1,0.03983610182800164
42,logistic_regression,2,0.12804502127527637
42,logistic_regression,3,0.32489805980400066
42,logistic_regression,4,0.15696774731848934
42,logistic_regression,5,0.16566108441336916
42,logistic_regression,6,0.20663498477335027
42,xgboost,0,0.10119173552813181
42,xgboost,1,0.0398152649233888
42,xgboost,2,0.12888792988519643
42,xgboost,3,0.3274592687611373
42,xgboost,4,0.1576849936911023
42,xgboost,5,0.16706985794087884
42,xgboost,6,0.2100037932276931
42,lightgbm,0,0.1012342924797188
42,lightgbm,1,0.039651385339795765
42,lightgbm,2,0.128819061739551
42,lightgbm,3,0.3269516568601598
42,lightgbm,4,0.15749725344387516
42,lightgbm,5,0.1667359729663535
42,lightgbm,6,0.20951458677546353
43,logistic_regression,0,0.10037117860724871
43,logistic_regression,1,0.03984230218298111
43,logistic_regression,2,0.12802715703609543
43,logistic_regression,3,0.3247412261135184
43,logistic_regression,4,0.1570882072556096
43,logistic_regression,5,0.16563682217051437
43,logistic_regression,6,0.2065646874289626
43,xgboost,0,0.10132275780133757
43,xgboost,1,0.039804376570277036
43,xgboost,2,0.12892161806557778
43,xgboost,3,0.3274039505083788
43,xgboost,4,0.1576403169193227
43,xgboost,5,0.16689235659611568
43,xgboost,6,0.2095227561543788
43,lightgbm,0,0.10140134187025929
43,lightgbm,1,0.03980143398303945
43,lightgbm,2,0.12908161981680352
43,lightgbm,3,0.3267567649572299
43,lightgbm,4,0.1574613793213985
43,lightgbm,5,0.16661703977165343
43,lightgbm,6,0.20923608891424633
44,logistic_regression,0,0.10047079391825878
44,logistic_regression,1,0.03983729267222229
44,logistic_regression,2,0.12811453826952618
44,logistic_regression,3,0.3247980701096281
44,logistic_regression,4,0.1571297438443557
44,logistic_regression,5,0.16593394687588878
44,logistic_regression,6,0.20664530649539709
44,xgboost,0,0.10129349262563218
44,xgboost,1,0.03980811865745508
44,xgboost,2,0.12906443547884258
44,xgboost,3,0.3272146929227505
44,xgboost,4,0.1576321706611288
44,xgboost,5,0.16717216766831497
44,xgboost,6,0.20970663716624313
44,lightgbm,0,0.10114455587606233
44,lightgbm,1,0.03979159844953215
44,lightgbm,2,0.12896669096872299
44,lightgbm,3,0.32676708841182533
44,lightgbm,4,0.15733910992646244
44,lightgbm,5,0.1670899034535948
44,lightgbm,6,0.20897274114356706
45,logistic_regression,0,0.1005653571680732
45,logistic_regression,1,0.039839720527640204
45,logistic_regression,2,0.12812018700450084
45,logistic_regression,3,0.32483376571448586
45,logistic_regression,4,0.15695724236313463
45,logistic_regression,5,0.16586356739773417
45,logistic_regression,6,0.20663429274040404
45,xgboost,0,0.10114105111378999
45,xgboost,1,0.03981530027943998
45,xgboost,2,0.12893226033060995
45,xgboost,3,0.3275862649639102
45,xgboost,4,0.15759609273812544
45,xgboost,5,0.1672754609843652
45,xgboost,6,0.20983274734315907
45,lightgbm,0,0.10113213600412149
45,lightgbm,1,0.03956827298356925
45,lightgbm,2,0.12868474905418475
45,lightgbm,3,0.32667124793997526
45,lightgbm,4,0.15729739397176223
45,lightgbm,5,0.16664513888844595
45,lightgbm,6,0.20921433201244904
46,logistic_regression,0,0.10036287510962938
46,logistic_regression,1,0.03983504388835925
46,logistic_regression,2,0.12802176644941077
46,logistic_regression,3,0.32484055832582015
46,logistic_regression,4,0.15704628229857276
46,logistic_regression,5,0.16581558418477466
46,logistic_regression,6,0.20666946842046582
46,xgboost,0,0.10095491449046139
46,xgboost,1,0.03979593948456843
46,xgboost,2,0.12887622645203503
46,xgboost,3,0.3275052747463986
46,xgboost,4,0.15770976292649858
46,xgboost,5,0.16698221890632442
46,xgboost,6,0.20979056807927154
46,lightgbm,0,0.10121314139074053
46,lightgbm,1,0.039817412679027185
46,lightgbm,2,0.1290252981353732
46,lightgbm,3,0.32731352471309083
46,lightgbm,4,0.15753410189886755
46,lightgbm,5,0.1666371458806412
46,lightgbm,6,0.20936740154061062
